decision_timestamp,transaction_id,amount,payment_method,failure_reason,failure_category,retry_count,recovery_probability,expected_recovery,priority,action,reason,retry_delay_minutes,guardrail_triggered,recovery_attempted,outcome,recovered_amount
2026-08-25T23:41:59,TXN100000,2339.73,UPI,Payment Declined,Customer Related,1,0.015,34.08,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100001,1014.33,UPI,Insufficient Balance,Customer Related,0,0.399,404.43,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100002,531.0,UPI,Processing Error,Technical,2,0.093,49.52,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100003,3733.09,Credit Card,Insufficient Balance,Customer Related,0,0.193,722.01,LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100004,3544.52,Credit Card,Bank Server Unavailable,Temporary,2,0.43,1523.51,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100005,1516.88,Debit Card,Insufficient Balance,Customer Related,0,0.495,750.41,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,1516.88
2026-08-25T23:41:59,TXN100006,487.7,UPI,Insufficient Balance,Customer Related,0,0.02,9.55,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100007,500.89,Debit Card,Authentication Failure,Technical,1,0.376,188.1,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100008,1459.4,Credit Card,Processing Error,Technical,1,0.413,602.8,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100009,897.94,Wallet,Authentication Failure,Technical,0,0.602,540.43,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,897.94
2026-08-25T23:41:59,TXN100010,1019.56,UPI,Insufficient Balance,Customer Related,0,0.021,21.89,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100011,3033.8,Net Banking,Bank Server Unavailable,Temporary,2,0.455,1379.15,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100012,2407.98,Net Banking,Processing Error,Technical,0,0.21,506.65,LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovered,2407.98
2026-08-25T23:41:59,TXN100013,4034.0,Credit Card,Insufficient Balance,Customer Related,3,0.005,22.18,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100014,606.38,Debit Card,Incorrect Payment Details,Customer Related,1,0.219,132.73,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100015,1017.85,UPI,Processing Error,Technical,1,0.452,460.01,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,1017.85
2026-08-25T23:41:59,TXN100016,2458.2,Wallet,Payment Declined,Customer Related,0,0.617,1517.75,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,2458.2
2026-08-25T23:41:59,TXN100017,1916.9,UPI,Insufficient Balance,Customer Related,0,0.558,1069.27,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100018,4563.77,Credit Card,Payment Declined,Customer Related,0,0.407,1857.4,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100019,1875.12,UPI,Bank Server Unavailable,Temporary,0,0.841,1576.52,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,1875.12
2026-08-25T23:41:59,TXN100020,5875.15,UPI,Insufficient Balance,Customer Related,0,0.285,1672.42,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100021,2063.2,Credit Card,Gateway Timeout,Temporary,0,0.844,1741.47,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,2063.2
2026-08-25T23:41:59,TXN100022,3132.96,Net Banking,Bank Server Unavailable,Temporary,0,0.672,2104.17,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100023,1034.0,Credit Card,Payment Declined,Customer Related,0,0.02,20.37,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100024,1354.83,Wallet,Payment Declined,Customer Related,0,0.572,774.64,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100025,2775.97,Credit Card,Incorrect Payment Details,Customer Related,1,0.483,1341.38,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,2775.97
2026-08-25T23:41:59,TXN100026,4867.73,UPI,Processing Error,Technical,1,0.463,2255.21,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,4867.73
2026-08-25T23:41:59,TXN100027,2400.4,UPI,Bank Server Unavailable,Temporary,2,0.468,1123.06,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100028,1253.21,Debit Card,Incorrect Payment Details,Customer Related,0,0.599,750.98,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,1253.21
2026-08-25T23:41:59,TXN100029,4031.4,UPI,Insufficient Balance,Customer Related,1,0.403,1623.91,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,4031.4
2026-08-25T23:41:59,TXN100030,231.93,Credit Card,Payment Declined,Customer Related,1,0.013,3.03,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100031,429.32,UPI,Authentication Failure,Technical,1,0.082,35.33,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100032,2310.7,UPI,Bank Server Unavailable,Temporary,0,0.799,1846.34,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,2310.7
2026-08-25T23:41:59,TXN100033,1354.63,Debit Card,Payment Declined,Customer Related,1,0.36,488.25,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100034,2174.19,Credit Card,Insufficient Balance,Customer Related,0,0.577,1255.49,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,2174.19
2026-08-25T23:41:59,TXN100035,1410.26,UPI,Authentication Failure,Technical,0,0.686,967.36,LOW,Retry,Technical failure with high recovery potential,0,None,True,Recovered,1410.26
2026-08-25T23:41:59,TXN100036,2114.89,UPI,Payment Declined,Customer Related,0,0.398,841.39,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100037,698.18,UPI,Incorrect Payment Details,Customer Related,0,0.479,334.62,VERY LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100038,2114.11,UPI,Gateway Timeout,Temporary,1,0.764,1616.22,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,2114.11
2026-08-25T23:41:59,TXN100039,2967.67,Credit Card,Incorrect Payment Details,Customer Related,1,0.437,1295.96,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,2967.67
2026-08-25T23:41:59,TXN100040,3556.17,Credit Card,Payment Declined,Customer Related,1,0.017,60.86,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100041,6706.57,UPI,Insufficient Balance,Customer Related,0,0.017,114.29,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100042,1628.28,UPI,Insufficient Balance,Customer Related,1,0.475,773.2,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,1628.28
2026-08-25T23:41:59,TXN100043,1667.58,UPI,Gateway Timeout,Temporary,0,0.837,1395.99,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,1667.58
2026-08-25T23:41:59,TXN100044,396.02,UPI,Network Timeout,Temporary,0,0.844,334.43,VERY LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,396.02
2026-08-25T23:41:59,TXN100045,875.57,Credit Card,Bank Server Unavailable,Temporary,1,0.513,449.26,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,875.57
2026-08-25T23:41:59,TXN100046,1147.72,UPI,Network Timeout,Temporary,1,0.384,440.95,VERY LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100047,3103.41,UPI,Authentication Failure,Technical,1,0.42,1304.7,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100048,821.56,Debit Card,Processing Error,Technical,0,0.31,255.06,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovered,821.56
2026-08-25T23:41:59,TXN100049,2532.78,UPI,Authentication Failure,Technical,2,0.405,1025.24,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100050,1337.69,Credit Card,Authentication Failure,Technical,2,0.479,640.66,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100051,1162.43,Credit Card,Bank Server Unavailable,Temporary,0,0.592,688.37,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100052,1634.54,UPI,Insufficient Balance,Customer Related,3,0.205,334.45,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100053,979.53,Debit Card,Processing Error,Technical,0,0.382,374.08,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovered,979.53
2026-08-25T23:41:59,TXN100054,950.29,Credit Card,Incorrect Payment Details,Customer Related,0,0.607,577.2,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,950.29
2026-08-25T23:41:59,TXN100055,342.47,Credit Card,Network Timeout,Temporary,2,0.299,102.52,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100056,1098.43,Debit Card,Insufficient Balance,Customer Related,0,0.517,568.05,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100057,912.35,Net Banking,Network Timeout,Temporary,0,0.676,616.74,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100058,886.44,Wallet,Gateway Timeout,Temporary,0,0.554,491.21,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100059,1869.63,Credit Card,Insufficient Balance,Customer Related,0,0.032,59.38,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100060,2268.57,Net Banking,Processing Error,Technical,0,0.481,1090.38,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,2268.57
2026-08-25T23:41:59,TXN100061,1612.85,UPI,Payment Declined,Customer Related,1,0.433,697.83,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,1612.85
2026-08-25T23:41:59,TXN100062,2970.04,Credit Card,Insufficient Balance,Customer Related,0,0.349,1037.38,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
