transaction_id,recovery_probability,expected_recovery,priority,action,reason,retry_delay_minutes,amount,failure_reason,failure_category,retry_count,recovery_success,recovered_amount,recovery_attempted,recovery_success_simulated,simulated_recovered_amount
TXN100000,0.015,34.08,VERY LOW,Stop Recovery,Recovery probability is too low,0,2339.73,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100001,0.399,404.43,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1014.33,Insufficient Balance,Customer Related,0,1,998.07,False,0,0.0
TXN100002,0.093,49.52,VERY LOW,Stop Recovery,Maximum retry limit reached,0,531.0,Processing Error,Technical,2,0,0.0,False,0,0.0
TXN100003,0.193,722.01,LOW,Stop Recovery,Recovery probability is too low,0,3733.09,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100004,0.43,1523.51,LOW,Stop Recovery,Maximum retry limit reached,0,3544.52,Bank Server Unavailable,Temporary,2,1,3535.19,False,0,0.0
TXN100005,0.495,750.41,LOW,Send Payment Reminder,Customer action may be required,60,1516.88,Insufficient Balance,Customer Related,0,1,1451.14,True,1,1516.88
TXN100006,0.02,9.55,VERY LOW,Stop Recovery,Recovery probability is too low,0,487.7,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100007,0.376,188.1,VERY LOW,Escalate,Low recovery probability requires investigation,0,500.89,Authentication Failure,Technical,1,0,0.0,True,0,0.0
TXN100008,0.413,602.8,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,1459.4,Processing Error,Technical,1,1,1453.68,True,0,0.0
TXN100009,0.602,540.43,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,897.94,Authentication Failure,Technical,0,0,0.0,True,1,897.94
TXN100010,0.021,21.89,VERY LOW,Stop Recovery,Recovery probability is too low,0,1019.56,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100011,0.455,1379.15,LOW,Stop Recovery,Maximum retry limit reached,0,3033.8,Bank Server Unavailable,Temporary,2,0,0.0,False,0,0.0
TXN100012,0.21,506.65,LOW,Escalate,Low recovery probability requires investigation,0,2407.98,Processing Error,Technical,0,0,0.0,True,1,2407.98
TXN100013,0.005,22.18,VERY LOW,Stop Recovery,Maximum retry limit reached,0,4034.0,Insufficient Balance,Customer Related,3,0,0.0,False,0,0.0
