transaction_id,customer_id,merchant_id,amount,currency,payment_method,transaction_hour,transaction_day,failure_reason,failure_category,previous_transaction_count,previous_success_count,previous_failure_count,customer_success_rate,days_since_last_success,retry_count,recovery_attempted,recovery_action,retry_delay_minutes,recovery_success,recovered_amount,recovery_time_minutes,recovery_probability,revenue_at_risk
TXN100000,CUST2126,MERCH136,2339.73,INR,UPI,16,Saturday,Payment Declined,Customer Related,2,1,1,0.5,82,1,False,Stop Recovery,0,0,0.0,0,0.13,304.16
TXN100001,CUST2459,MERCH129,1014.33,INR,UPI,7,Wednesday,Insufficient Balance,Customer Related,44,29,15,0.659,68,0,True,Send Payment Reminder,120,1,998.07,127,0.35,355.02
TXN100002,CUST1860,MERCH118,531.0,INR,UPI,5,Saturday,Processing Error,Technical,6,3,3,0.5,34,2,False,Stop Recovery,0,0,0.0,0,0.16,84.96
TXN100003,CUST2294,MERCH122,3733.09,INR,Credit Card,1,Saturday,Insufficient Balance,Customer Related,29,18,11,0.621,87,0,True,Send Payment Reminder,30,0,0.0,0,0.35,1306.58
TXN100004,CUST2130,MERCH115,3544.52,INR,Credit Card,9,Wednesday,Bank Server Unavailable,Temporary,23,12,11,0.522,61,2,True,Retry,0,1,3535.19,15,0.36,1276.03
TXN100005,CUST2095,MERCH100,1516.88,INR,Debit Card,16,Friday,Insufficient Balance,Customer Related,35,35,0,1.0,63,0,True,Send Payment Reminder,30,1,1451.14,33,0.5,758.44
TXN100006,CUST2724,MERCH111,487.7,INR,UPI,18,Friday,Insufficient Balance,Customer Related,10,5,5,0.5,73,0,False,Stop Recovery,0,0,0.0,0,0.2,97.54
TXN100007,CUST2044,MERCH123,500.89,INR,Debit Card,3,Wednesday,Authentication Failure,Technical,20,14,6,0.7,39,1,True,Escalate,0,0,0.0,0,0.38,190.34
TXN100008,CUST2638,MERCH133,1459.4,INR,Credit Card,12,Friday,Processing Error,Technical,25,20,5,0.8,76,1,True,Escalate,0,1,1453.68,10,0.48,700.51
TXN100009,CUST1121,MERCH107,897.94,INR,Wallet,20,Monday,Authentication Failure,Technical,36,36,0,1.0,37,0,True,Escalate,0,0,0.0,0,0.6,538.76
TXN100010,CUST1466,MERCH117,1019.56,INR,UPI,18,Wednesday,Insufficient Balance,Customer Related,10,5,5,0.5,12,0,False,Stop Recovery,0,0,0.0,0,0.25,254.89
TXN100011,CUST2238,MERCH147,3033.8,INR,Net Banking,15,Sunday,Bank Server Unavailable,Temporary,27,13,14,0.481,16,2,True,Retry,0,0,0.0,0,0.41,1243.86
TXN100012,CUST1330,MERCH104,2407.98,INR,Net Banking,12,Sunday,Processing Error,Technical,7,3,4,0.429,19,0,True,Escalate,0,0,0.0,0,0.3,722.39
TXN100013,CUST2482,MERCH125,4034.0,INR,Credit Card,4,Saturday,Insufficient Balance,Customer Related,50,28,22,0.56,76,3,False,Stop Recovery,0,0,0.0,0,0.05,201.7
TXN100014,CUST1087,MERCH129,606.38,INR,Debit Card,11,Sunday,Incorrect Payment Details,Customer Related,21,14,7,0.667,1,1,True,Send Payment Reminder,120,0,0.0,0,0.33,200.11
TXN100015,CUST2396,MERCH112,1017.85,INR,UPI,6,Wednesday,Processing Error,Technical,22,18,4,0.818,65,1,True,Escalate,0,1,1010.44,11,0.48,488.57
TXN100016,CUST2123,MERCH118,2458.2,INR,Wallet,8,Sunday,Payment Declined,Customer Related,46,37,9,0.804,19,0,True,Send Payment Reminder,120,1,2363.11,124,0.55,1352.01
TXN100017,CUST1871,MERCH128,1916.9,INR,UPI,4,Wednesday,Insufficient Balance,Customer Related,18,15,3,0.833,52,0,True,Send Payment Reminder,30,1,1832.95,35,0.55,1054.3
TXN100018,CUST2687,MERCH102,4563.77,INR,Credit Card,3,Friday,Payment Declined,Customer Related,1,1,0,1.0,44,0,True,Send Payment Reminder,60,0,0.0,0,0.55,2510.07
TXN100019,CUST1130,MERCH125,1875.12,INR,UPI,9,Sunday,Bank Server Unavailable,Temporary,25,21,4,0.84,44,0,True,Retry After Delay,15,1,1840.3,18,0.85,1593.85
TXN100020,CUST2685,MERCH139,5875.15,INR,UPI,15,Wednesday,Insufficient Balance,Customer Related,21,13,8,0.619,2,0,True,Send Payment Reminder,120,0,0.0,0,0.4,2350.06
